word,meaning,part_of_speech,examples,meaning_vi,phonetic
physical,"
+) involving the body as distinguished from the mind or spirit
+) relating to the sciences dealing with matter and energy; especially physics
+) having substance or material existence; perceptible to the senses","s, a","
+) physical exercise
+) physical suffering
+) was sloppy about everything but her physical appearance","+) (thuộc) vật chất
+) (thuộc) khoa học tự nhiên; theo quy luật khoa học tự nhiên
+) (thuộc) vật lý; theo vật lý
+) (thuộc) thân thể, (thuộc) cơ thể, của thân thể
+) (xem) jerk",physical
information,"
+) a message received and understood
+) knowledge acquired through study or experience or instruction
+) formal accusation of a crime",n,"
+) statistical data
+) the signal contained thousands of bits of information","+) sự cung cấp tin tức; sự thông tin
+) tin tức, tài liệu; kiến thức
+) (pháp lý) điều buộc tội
+) (điều khiển học) thông tin, tin tức
+) alphanumerical i. thông tin chữ số",information
transfer,"
+) the act of moving something from one location to another
+) someone who transfers or is transferred from one position to another
+) the act of transfering something from one form to another","v, n","
+) the best student was a transfer from LSU
+) the transfer of the music from record to tape suppressed much of the background noise
+) transfer the data","+) sự di chuyển, sự dời chỗ; sự truyền
+) sự nhượng, sự nhường lại, sự chuyển cho
+) (nghệ thuật) bản đồ lại
+) sự thuyên chuyển (nhân viên...)
+) sự chuyển khoản (tài vụ)",transportation
provided,"
+) give something useful or necessary to
+) give what is desired or needed, especially support, food or sustenance
+) determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",v,"
+) We provided the room with an electrical heater
+) The hostess provided lunch for all the guests
+) The will provides that each child should receive half of the money","+) được chuẩn bị đầy đủ, được dự phòng
+) được cung cấp, được chu cấp
+) trường tiểu học công do chính quyền địa phương đài thọ
+) với điều kiện là, miễn là ((cũng) provided that)provide /provide/
+) ((thường) + for,  against) chuẩn bị đầy đủ, dự phòng",supply
early,"
+) at or near the beginning of a period of time or course of events or before the usual or expected time
+) being or occurring at an early stage of development
+) belonging to the distant past","r, s, a","
+) early morning
+) an early warning
+) early diagnosis","+) sớm, ban đầu, đầu mùa
+) gần đây
+) sớm, ở lúc ban đầu, ở đầu mùa
+) vừa đúng lúc
+) trước đây",early
big,"
+) above average in size or number or quantity or magnitude or extent
+) significant
+) very intense","r, s, a","
+) a large city
+) set out for the big city
+) a large sum","+) to, lớn
+) bụng to, có mang, có chửa
+) quan trọng
+) hào hiệp, phóng khoáng, rộng lượng
+) huênh hoang, khoác lác",large
router,"
+) a worker who routes shipments for distribution and delivery
+) (computer science) a device that forwards data packets between computer networks
+) a power tool with a shaped cutter; used in carpentry for cutting grooves",n,"
+) ",+) cầu dẫn,router
experience,"
+) the accumulation of knowledge or skill that results from direct participation in events or activities
+) the content of direct observation or participation in an event
+) an event as apprehended","v, n","
+) a man of experience
+) experience is the best teacher
+) he had a religious experience","+) kinh nghiệm
+) điều đã kinh qua
+) trải qua, kinh qua, nếm mùi, chịu đựng
+) (+ that,  how) học được, tìm ra được (qua kinh nghiệm)
+) kinh nghiệm",experience
measurement,"
+) the act or process of assigning numbers to phenomena according to a rule",n,"
+) the measurements were carefully done
+) his mental measurings proved remarkably accurate","+) sự đo lường; phép đo
+) kích thước, khuôn khổ, bề (rộng, ngang, cao...)
+) phép đo, chiều đo, hệ thống đo
+) actual m. phép đo theo kích thước tự nhiên
+) direct m. phép đo trực tiếp",measurement
previous,"
+) just preceding something else in time or order
+) (used especially of persons) of the immediate past
+) too soon or too hasty",s,"
+) the previous owner
+) my old house was larger
+) the former president","+) trước
+) (thông tục) vội vàng, hấp tấp
+) kỳ thi đầu tiên để lấy bằng tú tài văn chương (trường đại học Căm-brít)
+) sự đặt vấn đề có đem ra biểu quyết ngay một vấn đề trong chương trình nghị sự không (nghị viện Anh)
+) previous to trước khi",previous
links,"
+) a golf course that is built on sandy ground near a shore
+) the means of connection between things linked in series
+) a fastener that serves to join or connect","v, n","
+) the walls are held together with metal links placed in the wet mortar during construction
+) the connection between church and state is inescapable
+) he provided a liaison with the guerrillas","+) bâi cát gần bờ biển mọc đầy cỏ dại (ở Ê-cốt)
+) (thể dục,thể thao) bãi chơi gônlink /liɳk/
+) đuốc, cây đuốc
+) mắt xích, vòng xích, khâu xích
+) mắt dây đạc (=  0, 20 m)",links
removed,"
+) remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
+) remove from a position or an office
+) dispose of","s, v","
+) remove a threat
+) remove a wrapper
+) Remove the dirty dishes from the table","+) xa, xa cách, khác biệt
+) (xem) cousinremove /ri'mu:v/
+) món ăn tiếp theo (sau một món khác)
+) sự lên lớp
+) lớp chuyển tiếp (trong một số trường ở Anh)",remove
previously,"
+) at an earlier time or formerly",r,"
+) she had previously lived in Chicago
+) he was previously president of a bank
+) better than anything previously proposed","+) trước, trước đây",previously
following,"
+) a group of followers or enthusiasts
+) the act of pursuing in an effort to overtake or capture
+) to travel behind, go after, come after","s, a, v, n","
+) the culprit started to run and the cop took off in pursuit
+) The ducklings followed their mother around the pond
+) Please follow the guide through the museum","+) sự theo, sự noi theo
+) số người theo, số người ủng hộ
+) (the following) những người sau đây, những thứ sau đây
+) tiếp theo, theo sau, sau đây
+) cú đánh theo (bi-a)",following
always,"
+) at all times; all the time and on every occasion
+) without variation or change, in every case
+) without interruption",r,"
+) I will always be there to help you
+) always arrives on time
+) there is always some pollution in the air","+) luôn luôn, lúc nào cũng, bao giờ cũng, mãi mãi, hoài
+) đôi khi, đôi lúc, thỉnh thoảng",always
although,,,,"+) dẫu cho, mặc dù",
covered,"
+) provide with a covering or cause to be covered
+) form a cover over
+) span an interval of distance, space or time","a, v","
+) cover her face with a handkerchief
+) cover the child with a blanket
+) cover the grave with flowers","+) có mái che
+) kín đáo
+) được yểm hộ (nhờ pháo binh)
+) có đội mũ
+) bị phủ",cover
learning,"
+) the cognitive process of acquiring skill or knowledge
+) profound scholarly knowledge
+) gain knowledge or skills","v, n","
+) the child's acquisition of language
+) She learned dancing from her sister
+) I learned Sanskrit","+) sự học
+) sự hiểu biết; kiến thức
+) thời kỳ phục hưng
+) những môn học mới (đưa vào nước Anh trong (thế kỷ) 16 như tiếng Hy-lạp...)learn /lə:n/
+) học, học tập, nghiên cứu",learning
delay,"
+) time during which some action is awaited
+) the act of delaying; inactivity resulting in something being put off until a later time
+) cause to be slowed down or delayed","v, n","
+) instant replay caused too long a delay
+) he ordered a hold in the action
+) Traffic was delayed by the bad weather","+) sự chậm trễ; sự trì hoãn
+) điều làm trở ngại; sự cản trở
+) làm chậm trễ
+) hoãn lại (cuộc họp, chuyến đi...)
+) làm trở ngại, cản trở",delay
think,"
+) an instance of deliberate thinking
+) judge or regard; look upon; judge
+) expect, believe, or suppose","v, n","
+) I need to give it a good think
+) I think he is very smart
+) I believe her to be very smart","+) nghĩ, suy nghĩ, ngẫm nghĩ
+) nghĩ, tưởng, tưởng tượng, nghĩ được, nghĩ là, cho là, coi như
+) nghĩ ra, thấy, hiểu
+) nghĩ đến, nhớ
+) trông mong",think
found,"
+) food and lodging provided in addition to money
+) set up or found
+) set up or lay the groundwork for","a, v, n","
+) they worked for $30 and found
+) She set up a literacy program
+) establish a new department","+) nấu chảy (kim loại, vật liệu làm thuỷ tinh...)
+) đúc (kim loại)
+) thành lập, sáng lập, xây dựng, đặt nền móng
+) căn xứ vào, dựa trên
+) xây dựng, thành lậpfind /faind/",found
area,"
+) a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
+) a subject of study
+) a part of an animal that has a special function or is supplied by a given artery or nerve",n,"
+) it was a mountainous area
+) Bible country
+) it was his area of specialization","+) diện tích, bề mặt
+) vùng, khu vực
+) khoảng đất trống
+) sân trước nhà ở (có hàng rào cách vỉa hè đường)
+) phạm vi, tầm",area
field,"
+) a piece of land cleared of trees and usually enclosed
+) a region where a battle is being (or has been) fought
+) somewhere (away from a studio or office or library or laboratory) where practical work is done or data is collected","v, n","
+) he planted a field of wheat
+) they made a tour of Civil War battlefields
+) anthropologists do much of their work in the field","+) đồng ruộng, cánh đồng
+) mỏ, khu khai thác
+) bâi chiến trường; nơi hành quân; trận đánh
+) sân (bóng đá,  crickê)
+) các đấu thủ, các vận động viên, các người dự thi, các ngựa dự thi",field
mobility,"
+) the quality of moving freely",n,"
+) ","+) tính chuyển động, tính di động; tính lưu động
+) tính hay thay đổi, tính dễ biến đổi, tính biến đổi nhanh
+) tính di động, tính lưu động
+) free m. di động tự do, độ động tự do, độ động toàn phần",mobility
action,"
+) something done (usually as opposed to something said)
+) the state of being active
+) a military engagement","v, n","
+) there were stories of murders and other unnatural actions
+) his sphere of activity
+) he is out of action","+) hành động, hành vi; hoạt động; công việc, việc làm
+) tác động, tác dụng, ảnh hưởng
+) sự chiến đấu, trận đánh
+) việc kiện, sự tố tụng
+) sự diễn biến, quá trình diễn biến (của vở kịch)",action
technical,"
+) a pickup truck with a gun mounted on it
+) (basketball) a foul that can be assessed on a player or a coach or a team for unsportsmanlike conduct; does not usually involve physical contact during play
+) of or relating to technique or proficiency in a practical skill","s, a, n","
+) his technical innovation was his brushwork
+) the technical dazzle of her dancing
+) a technical problem","+) (thuộc) kỹ thuật, chuyên môn
+) (thuộc) kỹ thuật",technical
media,"
+) a means or instrumentality for storing or communicating information
+) the surrounding environment
+) an intervening substance through which signals can travel as a means for communication",n,"
+) fish require an aqueous medium
+) the dissolving medium is called a solvent
+) a happy medium","+) người trung gian, vật môi giới
+) trung dung, sự chiết trung
+) bà đồng, đồng cốt
+) (nghệ thuật) chất pha màu
+) hoàn cảnh, môi trường",medium
education,"
+) the activities of educating or instructing; activities that impart knowledge or skill
+) knowledge acquired by learning and instruction
+) the gradual process of acquiring knowledge",n,"
+) he received no formal education
+) our instruction was carefully programmed
+) good classroom teaching is seldom rewarded","+) sự giáo dục, sự cho ăn học
+) sự dạy (súc vật...)
+) sự rèn luyện (kỹ năng...)
+) vốn học",education
director,"
+) someone who controls resources and expenditures
+) member of a board of directors
+) someone who supervises the actors and directs the action in the production of a show",n,"
+) ","+) giám đốc, người điều khiển, người chỉ huy
+) (sử học) quan đốc chính (hồi cách mạng Pháp)
+) (tôn giáo) cha đạo
+) người đạo diễn (phim)
+) (toán học) đường chuẩn",director
editorial,"
+) an article giving opinions or perspectives
+) of or relating to an article stating opinions or giving perspectives
+) relating to or characteristic of an editor","a, n","
+) editorial column
+) editorial duties","+) (thuộc) công tác thu thập và xuất bản
+) (thuộc) chủ bút (báo...)
+) bài xã luận (của một tờ báo...)",column
six,"
+) the cardinal number that is the sum of five and one
+) a playing card or domino or die whose upward face shows six pips
+) denoting a quantity consisting of six items or units","s, n","
+) ","+) sáu
+) số sáu
+) (số nhiều) nếu số sáu (cứ 6 cây được một pao)
+) (đánh bài) con sáu; mặt sáu (súc sắc)
+) lung tung, hỗn loạn",six
create,"
+) make or cause to be or to become
+) bring into existence
+) pursue a creative activity; be engaged in a creative activity",v,"
+) make a mess in one's office
+) create a furor
+) The company was created 25 years ago","+) tạo, tạo nên, tạo ra, tạo thành, sáng tạo
+) gây ra, làm
+) phong tước
+) (sân khấu) đóng lần đầu tiên
+) (từ lóng) làm rối lên, làn nhắng lên; hối hả chạy ngược chạy xuôi",make
providing,"
+) give something useful or necessary to
+) give what is desired or needed, especially support, food or sustenance
+) determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",v,"
+) We provided the room with an electrical heater
+) The hostess provided lunch for all the guests
+) The will provides that each child should receive half of the money","+) được chuẩn bị đầy đủ, được dự phòng
+) được cung cấp, được chu cấp
+) trường tiểu học công do chính quyền địa phương đài thọ
+) với điều kiện là, miễn là ((cũng) provided that)provide /provide/
+) ((thường) + for,  against) chuẩn bị đầy đủ, dự phòng",supply
lam,"
+) a rapid escape (as by criminals)
+) flee; take to one's heels; cut and run
+) give a thrashing to; beat hard","v, n","
+) the thieves made a clean getaway
+) after the expose he had to take it on the lam
+) If you see this man, run!","+) (từ lóng) đánh, quật, vụt (bằng gậy)
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) trốn tránh, chạy trốn, lẩn trốn",getaway
file,"
+) a set of related records (either written or electronic) kept together
+) a line of persons or things ranged one behind the other
+) office furniture consisting of a container for keeping papers in order","v, n","
+) file for divorce
+) file a complaint
+) file one's fingernails","+) cái giũa
+) (từ lóng) thằng cha láu cá, thằng cha quay quắt
+) lấy thúng úp voi; lấy gậy chọc trời
+) giũa
+) gọt giũa",file
virtual,"
+) being actually such in almost every respect
+) existing in essence or effect though not in actual fact",s,"
+) a practical failure
+) the once elegant temple lay in virtual ruin
+) a virtual dependence on charity","+) thực sự, thực tế
+) (vật lý) áo",virtual
federal,"
+) a member of the Union Army during the American Civil War
+) any federal law-enforcement officer
+) national; especially in reference to the government of the United States as distinct from that of its member units","s, a, n","
+) the Federal Bureau of Investigation
+) federal courts
+) the federal highway program",+) (thuộc) liên bang,Federal
numerous,"
+) amounting to a large indefinite number",s,"
+) numerous times
+) the family was numerous
+) Palomar's fans are legion","+) đông, đông đảo, nhiều
+) có vần, có nhịp điệu (văn, thơ)",numerous
loss,"
+) something that is lost
+) gradual decline in amount or activity
+) the act of losing someone or something",n,"
+) the car was a total loss
+) loss of livestock left the rancher bankrupt
+) weight loss","+) sự mất
+) sự thua, sự thất bại
+) sự thiệt hại, tổn hại, tổn thất, thua lỗ
+) sự uổng phí, sự bỏ phí
+) lúng túng, bối rối, luống cuống",loss
still,"
+) a static photograph (especially one taken from a movie and used for advertising purposes)
+) (poetic) tranquil silence
+) an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed","a, s, r, v, n","
+) he wanted some stills for a magazine ad
+) the still of the night
+) quiet the dragons of worry and fear","+) im, yên, tĩnh mịch
+) làm thinh, nín lặng
+) không sủi bọt (rượu, bia...)
+) tiếng nói của lương tâm
+) (xem) deep",still
significant,"
+) important in effect or meaning
+) fairly large
+) too closely correlated to be attributed to chance and therefore indicating a systematic relation","s, a","
+) a significant change in tax laws
+) a significant change in the Constitution
+) a significant contribution","+) đầy ý nghĩa, có tính chất gợi ý
+) quan trọng, trọng đại, đáng chú ý
+) có nghĩa, có ỹ nghĩa, đáng kể",significant
algorithm,"
+) a precise rule (or set of rules) specifying how to solve some problem",n,"
+) ","+) thuật toán
+) (Tech) thuật toán, giải thuật",algorithm
center,"
+) an area that is approximately central within some larger region
+) the piece of ground in the outfield directly ahead of the catcher
+) a building dedicated to a particular activity","s, a, v, n","
+) it is in the center of town
+) they ran forward into the heart of the struggle
+) they were in the eye of the storm","+) (từ Mỹ,nghĩa Mỹ) (như) centre",center
switched,"
+) change over, change around, as to a new order or sequence
+) exchange or give (something) in exchange for
+) lay aside, abandon, or leave for another",v,"
+) switch to a different brand of beer
+) She switched psychiatrists
+) The car changed lanes",,switch_over
building,"
+) a structure that has a roof and walls and stands more or less permanently in one place
+) the act of constructing something
+) the commercial activity involved in repairing old structures or constructing new ones","v, n","
+) there was a three-story building on the corner
+) it was an imposing edifice
+) during the construction we had to take a detour","+) kiến trúc; sự xây dựng
+) công trình kiến trúc, công trình xây dựng
+) toà nhà,  binđinhbuild /bild/
+) sự xây dựng
+) kiểu kiến trúc",building
michigan,"
+) a midwestern state in north central United States in the Great Lakes region
+) the 3rd largest of the Great Lakes; the largest freshwater lake entirely within the United States borders
+) a gambling card game in which chips are placed on the ace and king and queen and jack of separate suits (taken from a separate deck); a player plays the lowest card of a suit in his hand and successively higher cards are played until the sequence stops; the player who plays a card matching one in the layout wins all the chips on that card",n,"
+) ",,Michigan
teach,"
+) an English pirate who operated in the Caribbean and off the Atlantic coast of North America (died in 1718)
+) impart skills or knowledge to
+) accustom gradually to some action or attitude","v, n","
+) I taught them French
+) He instructed me in building a boat
+) The child is taught to obey her parents","+) dạy, dạy học; dạy bảo, dạy dỗ",Teach
throughout,"
+) from first to last
+) used to refer to cited works",r,"
+) the play was excellent end-to-end","+) từ đầu đến cuối, khắp, suốt",throughout
visit,"
+) the act of going to see some person or place or thing for a short time
+) a meeting arranged by the visitor to see someone (such as a doctor or lawyer) for treatment or advice
+) the act of visiting in an official capacity (as for an inspection)","v, n","
+) he dropped by for a visit
+) he scheduled a visit to the dentist
+) a visit to the dentist","+) sự đi thăm, sự thăm hỏi, sự thăm viếng
+) sự tham quan; thời gian ở lại thăm
+) (từ Mỹ,nghĩa Mỹ),  (thông tục) cuộc truyện trò thân mật (lúc đến thăm nhau)
+) (y học) sự khám bệnh, sự thăm bệnh
+) (pháp lý) sự thăm hỏi",visit
fun,"
+) activities that are enjoyable or amusing
+) verbal wit or mockery (often at another's expense but not to be taken seriously)
+) violent and excited activity",n,"
+) I do it for the fun of it
+) he is fun to have around
+) he became a figure of fun","+) sự vui đùa, sự vui thích; trò vui đùa
+) mạnh mẽ; rất nhanh
+) nhiều lần
+) (từ Mỹ,nghĩa Mỹ) chắc chắn là không; không một chút nào; đáng ngờ lắm
+) (xem) make",fun
good,"
+) benefit
+) moral excellence or admirableness
+) that which is pleasing or valuable or useful","r, s, a, n","
+) for your own good
+) what's the good of worrying?
+) there is much good to be found in people","+) tốt, hay, tuyệt
+) tử tế, rộng lượng, thương người; có đức hạnh, ngoan
+) tươi (cá)
+) tốt lành, trong lành, lành; có lợi
+) cừ, giỏi, đảm đang, được việc",good
electrical,"
+) relating to or concerned with electricity
+) using or providing or producing or transmitting or operated by electricity",a,"
+) an electrical engineer
+) electrical and mechanical engineering industries
+) electric current",+) (thuộc) điện,electrical
wide,"
+) having great (or a certain) extent from one side to the other
+) broad in scope or content; ; ; ; ; - T.G.Winner
+) (used of eyes) fully open or extended","r, s, a","
+) wide roads
+) a wide necktie
+) wide margins","+) rộng, rộng lớn
+) mở rộng, mở to
+) (nghĩa bóng) rộng, uyên bác (học vấn)
+) (nghĩa bóng) rộng r i, phóng khoáng, không có thành kiến (tư tưởng)
+) xa, cách xa",wide
c,"
+) a degree on the centigrade scale of temperature
+) the speed at which light travels in a vacuum; the constancy and universality of the speed of light is recognized by defining it to be exactly 299,792,458 meters per second
+) a vitamin found in fresh fruits (especially citrus fruits) and vegetables; prevents scurvy","s, n","
+) ","+) c
+) 100 (chữ số La mã)
+) (từ Mỹ,nghĩa Mỹ) trăm đô la
+) (âm nhạc) đô
+) (toán học) số lượng thứ ba đã biết",degree_centigrade
getting,"
+) the act of acquiring something
+) come into the possession of something concrete or abstract
+) enter or assume a certain state or condition","v, n","
+) I envied his talent for acquiring
+) he's much more interested in the getting than in the giving
+) She got a lot of paintings from her uncle","+) (ngành mỏ) sự khấu; sự khai thác
+) lợi ích; thu hoạchget /get/
+) được, có được, kiếm được, lấy được
+) nhận được, xin được, hỏi được
+) tìm ra, tính ra",acquiring
encourage,"
+) contribute to the progress or growth of
+) inspire with confidence; give hope or courage to
+) spur on",v,"
+) I am promoting the use of computers in the classroom
+) His financial success encouraged him to look for a wife","+) làm can đảm, làm mạnh dạn
+) khuyến khích, cổ vũ, động viên
+) giúp đỡ, ủng hộ",promote
example,"
+) an item of information that is typical of a class or group
+) a representative form or pattern
+) something to be imitated",n,"
+) this patient provides a typical example of the syndrome
+) there is an example on page 10
+) I profited from his example","+) thí dụ, ví dụ
+) mẫu, gương mẫu, gương
+) cái để làm gương
+) tiền lệ, lệ trước, vật so sánh, cái tương đương
+) dùng làm thí dụ",example
phrase,"
+) an expression consisting of one or more words forming a grammatical constituent of a sentence
+) a short musical passage
+) an expression whose meanings cannot be inferred from the meanings of the words that make it up","v, n","
+) He formulated his concerns to the board of trustees
+) phrase a musical passage","+) nhóm từ
+) thành ngữ
+) cách nói
+) (số nhiều) những lời nói suông
+) (âm nhạc) tiết nhạc",phrase
assistant,"
+) a person who contributes to the fulfillment of a need or furtherance of an effort or purpose
+) of or relating to a person who is subordinate to another","s, n","
+) my invaluable assistant
+) they hired additional help to finish the work","+) người giúp đỡ, người phụ tá
+) trợ giáo; (pháp lý) viên phụ thẩm
+) người bán hàng ((cũng) shop assistant)
+) giúp đỡ, phụ, phó",assistant
sixth,"
+) position six in a countable series of things
+) one part in six equal parts
+) the musical interval between one note and another six notes away from it","s, n","
+) ","+) thứ sáu
+) một phần sáu
+) người thứ sáu; vật thứ sáu; ngày mồng sáu
+) lớp sáu
+) (âm nhạc) quãng sáu; âm sáu",sixth
recent,"
+) approximately the last 10,000 years
+) new
+) of the immediate past or just previous to the present time","s, n","
+) recent graduates
+) a recent addition to the house
+) recent buds on the apple trees","+) gần đây, xảy ra gần đây, mới đây, mới xảy ra
+) mới, tân thời
+) vừa qua, gần đây",Holocene
editor,"
+) a person responsible for the editorial aspects of publication; the person who determines the final content of a text (especially of a newspaper or magazine)
+) (computer science) a program designed to perform such editorial functions as rearrangement or modification or deletion of data",n,"
+) ","+) người thu thập và xuất bản
+) chủ bút (báo, tập san...)
+) người phụ trách một mục riêng (trong một tờ báo...)
+) (Tech) bộ lắp; chương trình biên soạn, bộ biên soạn; soạn giả; biên tập viên",editor
five,"
+) the cardinal number that is the sum of four and one
+) a team that plays basketball
+) a playing card or a domino or a die whose upward face shows five pips","s, n","
+) ","+) năm
+) số năm
+) bộ năm
+) con năm (quân bài, con súc sắc)
+) đồng năm bảng Anh",five
distributed,"
+) administer or bestow, as in small portions
+) distribute or disperse widely
+) make available","a, v","
+) administer critical remarks to everyone present
+) dole out some money
+) shell out pocket money for the children","+) được phân bổ theo một kiểu nào đó
+) được phân phối, được phân bốdistribute /dis'tribju:t/
+) phân bổ, phân phối, phân phát
+) rắc, rải
+) sắp xếp, xếp loại, phân loại",distribute
hash,"
+) chopped meat mixed with potatoes and browned
+) purified resinous extract of the hemp plant; used as a hallucinogen
+) chop up","v, n","
+) hash the potatoes","+) món thịt băm
+) (nghĩa bóng) bình mới rượu cũ (đồ cũ sửa lại với hình thức mới)
+) mớ lộn xộn, mớ linh tinh
+) làm hỏng việc, làm cho việc trở bên be bét rối tinh
+) (xem) settle",hash
van,"
+) any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)
+) the leading units moving at the head of an army
+) (Great Britain) a closed railroad car that carries baggage or freight",n,"
+) ","+) (quân sự) tiền đội, quân tiên phong
+) những người đi tiên phong, những người lãnh đạo (một phong trào); địa vị hàng đầu
+) xe hành lý, xe tải
+) (ngành đường sắt) toa hành lý, toa hàng ((cũng) luggage van)
+) chuyên chở bằng xe tải",avant-garde
section,"
+) a self-contained part of a larger composition (written or musical)
+) a very thin slice (of tissue or mineral or other substance) for examination under a microscope
+) a distinct region or subdivision of a territorial or political area or community or group of people","v, n","
+) he always turns first to the business section
+) the history of this work is discussed in the next section
+) sections from the left ventricle showed diseased tissue","+) sự cắt; chỗ cắt
+) phần cắt ra, đoạn cắt ra
+) khu vực
+) tiết đoạn (một quyển sách)
+) mặt cắt, tiết diện",section
team,"
+) a cooperative unit (especially in sports)
+) two or more draft animals that work together to pull something
+) form a team","v, n","
+) We teamed up for this new project","+) cỗ (ngựa, trâu, bò...)
+) đội, tổ
+) thắng (ngựa...) vào xe
+) hợp ai thành đội, hợp lại thành tổ
+) (từ Mỹ,nghĩa Mỹ) hợp sức với ai",team
net,"
+) a computer network consisting of a worldwide network of computer networks that use the TCP/IP network protocols to facilitate data transmission and exchange
+) a trap made of netting to catch fish or birds or insects
+) the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)","s, a, v, n","
+) The company cleared $1 million
+) This sale netted me $1 million
+) net a fish","+) lưới, mạng (tóc, nhện...)
+) cạm, bẫy
+) vải màn; vải lưới
+) mạng lưới
+) bắt bằng lưới, đánh lưới",internet
long,"
+) desire strongly or persistently
+) primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified
+) primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified","r, s, a, v","
+) a long life
+) a long boring speech
+) a long time","+) dài (không gian, thời gian); xa, lâu
+) kéo dài
+) cao; nhiều, đáng kể
+) dài dòng, chán
+) quá, hơn",hanker
nevertheless,"
+) despite anything to the contrary (usually following a concession)",r,"
+) although I'm a little afraid, however I'd like to try it
+) while we disliked each other, nevertheless we agreed
+) he was a stern yet fair master","+) tuy nhiên, tuy thế mà",however
york,"
+) the English royal house (a branch of the Plantagenet line) that reigned from 1461 to 1485; its emblem was a white rose",n,"
+) ",,York
k,"
+) the basic unit of thermodynamic temperature adopted under the Systeme International d'Unites
+) a light soft silver-white metallic element of the alkali metal group; oxidizes rapidly in air and reacts violently with water; is abundant in nature in combined forms occurring in sea water and in carnallite and kainite and sylvite
+) the cardinal number that is the product of 10 and 100","s, n","
+) ",+) k,kelvin
treatment,"
+) care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
+) the management of someone or something
+) a manner of dealing with something artistically",n,"
+) the handling of prisoners
+) the treatment of water sewage
+) the right to equal treatment in the criminal justice system","+) sự đối xử, sự đối đãi, sự cư xử (với người nào)
+) (y học) sự điều trị; phép trị bệnh
+) (hoá học) sự xử lý
+) sự luận bàn, sự nghiên cứu; sự giải quyết (một vấn đề)",treatment
shanghai,"
+) the largest city of China; located in the east on the Pacific; one of the largest ports in the world
+) take (someone) against his will for compulsory service, especially on board a ship","v, n","
+) The men were shanghaied after being drugged","+) (hàng hải),  (từ lóng) bắt cóc (để lên làm ở tàu biển)
+) (từ lóng) dùng thủ đoạn bắt ép (phải làm gì)",Shanghai
believe,"
+) accept as true; take to be true
+) judge or regard; look upon; judge
+) be confident about something",v,"
+) I believed his report
+) We didn't believe his stories from the War
+) She believes in spirits","+) tin, tin tưởng
+) cho rằng, nghĩ rằng
+) làm ra vẻ, giả vờ",believe
send,"
+) cause to go somewhere
+) to cause or order to be taken, directed, or transmitted to another place
+) cause to be directed or transmitted to another place",v,"
+) The explosion sent the car flying in the air
+) She sent her children to camp
+) He directed all his energies into his dissertation","+) gửi, sai, phái, cho đi ((cũng) scend)
+) cho, ban cho, phù hộ cho, giáng (trời,  Thượng đế...)
+) bắn ra, làm bốc lên, làm nẩy ra, toả ra
+) đuổi đi, tống đi
+) làm cho (mê mẩn)",send
w,"
+) a heavy grey-white metallic element; the pure form is used mainly in electrical applications; it is found in several ores including wolframite and scheelite
+) the cardinal compass point that is a 270 degrees
+) a unit of power equal to 1 joule per second; the power dissipated by a current of 1 ampere flowing across a resistance of 1 ohm",n,"
+) ","+) W,  w (v kép)",tungsten
f,"
+) a degree on the Fahrenheit scale of temperature
+) a nonmetallic univalent element belonging to the halogens; usually a yellow irritating toxic flammable gas; a powerful oxidizing agent; recovered from fluorite or cryolite or fluorapatite
+) the capacitance of a capacitor that has an equal and opposite charge of 1 coulomb on each plate and a voltage difference of 1 volt between the plates",n,"
+) ","+) f
+) (âm nhạc) Fa",degree_Fahrenheit
resource,"
+) available source of wealth; a new or reserve supply that can be drawn upon when needed
+) a source of aid or support that may be drawn upon when needed
+) the ability to deal resourcefully with unusual problems",n,"
+) the local library is a valuable resource
+) a man of resource","+) phương sách, phương kế, thủ đoạn, cách xoay xở; chỗ trông mong vào (khi gặp thế bí)
+) (số nhiều) tài nguyên
+) (số nhiều) tiềm lực kinh tế và quân sự (của một nước)
+) sự giải trí, sự tiêu khiển
+) tài xoay sở, tài tháo vát, tài vặt",resource
fellow,"
+) a boy or man
+) a friend who is frequently in the company of another
+) a person who is member of one's class or profession",n,"
+) that chap is your host
+) there's a fellow at the door
+) he's a likable cuss","+) bạn đồng chí
+) người, người ta; ông bạn; thằng cha, gã, anh chàng
+) nghiên cứu sinh
+) uỷ viên giám đốc (trường đại học Anh như Ôc-phớt)
+) hội viên, thành viên (viện nghiên cứu)",chap
