word,meaning,part_of_speech,examples,phonetic,meaning_vi
irrelevant,having no bearing on or connection with the subject at issue,a,"an irrelevant comment
irrelevant allegations",irrelevant,"
+) không thích đáng; không thích hợp"
primarily,for the most part,r,he is mainly interested in butterflies,chiefly,"
+) trước hết, đầu tiên
+) chủ yếu, chính"
ridge,a long narrow natural elevation or striation,n,,ridge,"
+) chóp, chỏm, ngọn, đỉnh (núi); nóc (nhà); sống (mũi)
+) dây (đồi, gò)
+) lằn gợn (trên cát)
+) luống (đất)
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) tiền
+) vun (đất) thành luống
+) trồng (cây) thành luống
+) làm có lằn gợn (trên cát)
+) thành luống nhấp nhô
+) nổi sóng nhấp nhô (biển); gợn lên
+) ngọn sóng"
precisely,indicating exactness or preciseness,r,"he was doing precisely (or exactly) what she had told him to do
it was just as he said--the jewel was gone
it has just enough salt",precisely,"
+) đúng, chính xác
+) đúng thế, hoàn toàn đúng (dùng trong câu trả lời tán tỉnh...)
+) một cách chính xác"
subsequent,following in time or order,a,subsequent developments,subsequent,"
+) đến sau, theo sau, xảy ra sau"
nig,,,,,"
+) đẽo đá (bằng búa sắc cạnh)"
unordered,not arranged in order,a,,disordered,"
+) không được đăng ký
+) không được ra lệnh
+) không được sắp xếp lộn xộn"
evolutionary,of or relating to or produced by evolution,a,evolutionary biology,evolutionary,"
+) (thuộc) sự tiến triển
+) (thuộc) sự tiến hoá; (thuộc) thuyết tiến hoá
+) (thuộc) sự quay lượn (khi nhảy múa)"
law,the collection of rules imposed by authority,n,"civilization presupposes respect for the law
the great problem for jurisprudence to allow freedom while enforcing order",law,"
+) phép, phép tắc, luật; quy luật, định luật; điều lệ
+) pháp luật, luật
+) luật học; nghề luật sư
+) tiến sĩ luật khoa
+) toà án, việc kiện cáo
+) giới luật gia
+) (thể dục,thể thao) sự chấp (thời gian, quâng đường...)
+) anh ninh trật tự
+) làm theo đường lối của mình, bất chấp cả luật lệ
+) bắt ai phải làm theo ý mình
+) nói giọng oai quyền, ra oai
+) tuỳ cơ ứng biến
+) luật, quy luật; định luật; nguyên lý; công thức; định lý
+) l. of action and reaction định luật tác dụng và phản tác dụng
+) l. of apparition of prime luật phân bố các số nguyên tố
+) l. of association luật kết hợp
+) l. of commutation luật giao hoán
+) l. of conservation of energy định luật bảo toàn năng lượng
+) l. of contradiction (logic học) luật mâu thuẫn
+) l. of cosines định lý côsi
+) l. of distributive proportion luật tỷ lệ phân phối
+) l. of double logarithm luật lôga lặp
+) l. of errors luật sai số
+) l. of excluded middle luật bài trung
+) l. of experience (điều khiển học) luật kinh nghiệm
+) l. of friction định luật ma sát
+) l. of great numbers luật số lớn
+) l. of identity (logic học) luật đồng nhất
+) l. of indices luật chỉ số
+) l. of inertia định luật quán tính
+) l. of interated logarithm luật lôga lặp
+) l. of mutuality phases quy luật tương hỗ các pha
+) l. of nature quy luật tự nhiên
+) l. of reciprocity luật [thuận, nghịch, phản liên hồi dưỡng]
+) l. of requisite variety (điều khiển học) luật yêu cầu nhiều vẻ
+) l. of signs luật đấu
+) l. of sines (hình học) định lý sin
+) l. of small numbers (điều khiển học) luật số bé, phân phối Poatxông
+) l. of sufficient reason (logic học) luật đủ lý
+) l. of supply and demand (toán kinh tế) quy luật cung và cầu
+) l. of tangents định lý tang
+) l. of the lever (cơ học) định luật đòn bẩy
+) l. of the mean (giải tích) định lý trung bình
+) l. of thought (logic học) luật tư duy
+) l. of universal gravitation định luật vạn vật hấp dẫn
+) l. of zero (thống kê) luật không
+) absorption l. (đại số) luật hút thu
+) cancellation l. luật giản ước
+) commutative l. luật giao hoán
+) complementarity l. (đại số) luật bù
+) composition l. luật hợp thành
+) conservation l. định luật bảo toàn
+) cosine l. định lý côsin
+) distribution l. luật phân phối
+) dualization l. luật đối ngẫu
+) elementary probability l. mật độ phân phối xác suất
+) error l. luật sai số, luật độ sai
+) exponential l. luật số mũ
+) gas l. (vật lí) phương trình của khí; sự cân bằng trạng thái khí
+) hydrostatic(al) pressures l. luật phân phối áp lực thuỷ tĩnh
+) index l.s luật chỉ số
+) inertia l. định luật quán tính, định luật Niutơn thứ nhất
+) non-commutative l. luật không giao hoán
+) normal l. of composition hh(đại số) luật hợp thành chuẩn tắc
+) one- side distribuutive l. luật phân phối một phía
+) parallelogram l. of forces quy tắc bình hành lực
+) probability l. luật xác suất
+) quasi-stable l. luật tựa ổn định
+) reciprocity l. luật thuận nghịch
+) reduced l. luật rút gọn
+) reflexive l. luật phản xạ
+) semi-stable l. luật nửa phân phối
+) strong l. of large numbers luật mạnh số lớn
+) transitive l. luật [bắc cầu, truyền ứng]
+) trichotomy l. (đại số) luật tam phân"
evolution,a process in which something passes by degrees to a different stage (especially a more advanced or mature stage),n,"the development of his ideas took many years
the evolution of Greek civilization
the slow development of her skill as a writer",development,"
+) sự tiến triển (tình hình...)
+) sự tiến hoá, sự phát triển
+) sự mở ra, sự nở ra (nụ...)
+) sự phát ra (sức nóng, hơi...)
+) sự quay lượn (khi nhảy múa...)
+) (toán học) sự khai căn
+) (quân sự) sự thay đổi thế trận
+) sự tiến hoá, sự phát triểnm sự khai (căn)"
photos,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material,n,,photograph,"
+) vt của photograph (ảnh, bức ảnh)photo /'foutou/
+) (viết tắt) của photograph"
sharing,using or enjoying something jointly with others,n,,sharing,"
+) sự phân chia, sự phân bổ
+) (Econ) Cổ phiếu.
+) Xem EQUITIES.share /ʃeə/
+) lưỡi cày, lưỡi máy gieo, lưỡi máy cày
+) phần
+) phần đóng góp
+) sự chung vốn; cổ phần
+) chia đều; chịu đều
+) tranh, phần hơn
+) chia, phân chia, phân phối, phân cho
+) có phần, có dự phần; tham gia
+) chia, phân chia, phân phối
+) (toán kinh tế) phần; cổ phần
+) ordinary s. cổ phần thông thường
+) preference s. cổ phần đặc quyền"
publishing,the business of issuing printed matter for sale or distribution,n,,publication,"
+) công việc xuất bản; nghề xuất bảnpublish /'pʌbliʃ/
+) công bố; ban bố (sắc lệnh...)
+) xuất bản (sách...)"
enabling,render capable or able for some task,v,"This skill will enable you to find a job on Wall Street
The rope enables you to secure yourself when you climb the mountain",enable,"
+) (Tech) khả dụng; khai thông mạch; cho phépenable /i'neibl/
+) làm cho có thể (làm gì), làm cho có khả năng (làm gì)
+) cho quyền, cho phép (ai) (làm gì)
+) có thể"
analogy,an inference that if things agree in some respects they probably agree in others,n,,analogy,"
+) sự tương tự, sự giống nhau
+) (triết học) phép loại suy
+) (sinh vật học) sự cùng chức (cơ quan)
+) (Tech) tính tương tự; loại suy, suy diễn
+) sự tương tự by., on the a. bằng tương tự, làm tương tự
+) membrane a. tương tự màng"
desire,the feeling that accompanies an unsatisfied state,n,,desire,"
+) sự thèm muốn; sự mong muốn, sự ao ước, sự khát khao, sự mơ ước, lòng thèm muốn, lòng khát khao
+) vật mong muốn, vật ao ước
+) dục vọng
+) lời đề nghị, lời yêu cầu; lệnh
+) thèm muốn; mong muốn, ao ước, khát khao, mơ ước
+) đề nghị, yêu cầu; ra lệnh
+) ước muốn"
dependent,a person who relies on another person for support (especially financial support),n,,dependant,"
+) người phụ thuộc, người tuỳ thuộc (vào người khác)
+) người dưới, người hầu
+) người sống dựa (vào người khác); người nhà (sống dựa vào lao động chính)
+) người được bảo hộ, người được che chở
+) phụ thuộc, lệ thuộc
+) dựa vào, ỷ vào
+) phụ thuộc
+) algebraically d. phụ thuộc đại số
+) lincarly d. phụ thuộc tuyến tính"
separately,apart from others,r,"taken individually, the rooms were, in fact, square
the fine points are treated singly",individually,"
+) không cùng nhau; thành người riêng, vật tách riêng ra"
serbian,a member of a Slavic people who settled in Serbia and neighboring areas in the 6th and 7th centuries,n,,Serbian,"
+) (thuộc) Xéc-bi
+) người Xéc-bi
+) tiếng Xéc-bi"
automatic,light machine gun,n,,automatic_rifle,"
+) tự động
+) vô ý thức, máy móc
+) máy tự động; thiết bị tự động
+) súng tự động; súng lục tự động
+) (Tech) thuộc tự động; máy tự động"
drinking,the act of consuming liquids,n,,drinking,"
+) sự uống rượudrink /driɳk/
+) đồ uống, thức uống
+) rượu mạnh ((cũng) strong drink)
+) hớp, ngụm; cốc, ly (rượu, nước giải khát)
+) thói rượu chè, thói nghiện rượu
+) (hàng không),  (từ lóng) biển
+) uống (rượu, nước...)
+) uống cạn; (nghĩa bóng) tận hưởng; chịu đựng cho đến cùng
+) uống hết, rượu chè phung phí hết (tiền...)
+) uống cho đến nỗi
+) nâng cốc chúc
+) ((thường) + up,  in) hút, thấm (nước) (cây, giấy thấm...)
+) uống
+) (+ to) nâng cốc chúc
+) uống rượu, uống say, nghiện rượu
+) rượu chè mất hết (lý trí...)
+) uống cho quên hết (nỗi sầu...)
+) uống hơn (ai), tửu lượng bỏ ai (xa)
+) hút vào, thấm vào
+) nghe như uống lấy, nghe say sưa; ngắm nhìn như uống lấy, ngắm nhìn say sưa
+) (thông tục) nốc (rượu) vào
+) uống một hơi, nốc thẳng một hơi
+) (xem) confusion
+) uống được nhiều rượu hơn ai, tửu lượng bỏ xa ai"
alpha,the 1st letter of the Greek alphabet,n,,alpha,"
+) chữ anfa
+) (Tech) anfa; hệ số khuếch đại anfa (đèn tinh thể); chữ cái đầu tiên trong mẫu tự Hy Lạp
+) anpha (α); (thiên văn) sao anpha (trong một chòm sao)"
descriptive,serving to describe or inform or characterized by description,a,"the descriptive variable
a descriptive passage",descriptive,"
+) diễn tả, mô tả, miêu tả
+) (toán học) hoạ pháp
+) (logic học) mô tả"
received,get something; come into possession of,v,"receive payment
receive a gift
receive letters from the front",receive,"
+) được thừa nhận rộng rãi là đúngreceive /ri'si:v/
+) nhận, lĩnh, thu
+) tiếp, tiếp đón, tiếp đãi
+) kết nạp (ai vào một tổ chức), tiếp thu, tiếp nhận (một đề nghị...)
+) (pháp lý) chứa chấp (đồ gian)
+) chứa đựng
+) đỡ, chịu, bị; được
+) tin, công nhận là đúng
+) đón (một đường bóng, một quả bóng phát đi)
+) tiếp khách (có ở nhà để tiếp khách)
+) nhận quà; lĩnh tiền, lĩnh lương; thu tiền
+) nhận"
tuning,(music) calibrating something (an instrument or electronic circuit) to a standard frequency,n,,tuning,"
+) (âm nhạc) sự lên dây
+) (rađiô) sự điều chỉnh làn sóng; sự bắt làn sóng
+) (kỹ thuật) sự điều chỉnh (máy)tune /tju:n/
+) điệu (hát...), giai điệu
+) sự đúng điệu; sự hoà âm
+) (nghĩa bóng) sự hoà hợp sự hoà thuận
+) sự cao hứng, sự hứng thú
+) (nghĩa bóng) đổi giọng, đổi thái độ
+) với số tiền là năm triệu
+) (âm nhạc) lên dây so dây (đàn)
+) (nghĩa bóng) làm cho hoà hợp, làm cho phù hợp, làm cho ăn giọng, làm cho ăn khớp
+) (từ Mỹ,nghĩa Mỹ) điều chỉnh (máy...)
+) (+ with) hoà hợp với, hoà nhịp với, ăn giọng với, ăn khớp với (đen &amp;amp; bóng)
+) điều chỉnh làn sóng (truyền thanh)
+) lên dây, so dây (dàn nhạc)
+) bắt đầu chơi (nhạc); bắt đầu hát
+) (đùa cợt) bắt đầu nhé (trẻ con...)"
python,large Old World boas,n,,python,"
+) (thần thoại,thần học) mãng xà (thần thoại Hy lạp)
+) (động vật học) con trăn
+) ma, hồn ma
+) người bị hồn ma ám ảnh"
thereby,by that means or because of that,r,"He knocked over the red wine, thereby ruining the table cloth",thereby,"
+) bằng cách ấy, theo cách ấy, do đó
+) có dính dáng tới cái đó, có liên quan tới cái đó"
led,diode such that light emitted at a p-n junction is proportional to the bias current; color depends on the material used,n,,light-emitting_diode,"
+) chì
+) (hàng hải) dây dọi dò sâu, máy dò sâu
+) (ngành in) thanh cỡ
+) than chì (dùng làm bút chì)
+) (số nhiều) tấm chì lợp nhà; mái lợp tấm chì
+) đạn chì
+) (từ lóng) cáo ốm, giả vờ ốm để trốn việc
+) buộc chì; đổ chì; bọc chì; lợp chì
+) (ngành in) đặt thành cỡ[li:d]
+) sự lânh đạo; sự hướng dẫn, sự chỉ dẫn; sự dẫn đầu
+) vị trí đứng đầu
+) (sân khấu) vai chính; người đóng vai chính
+) dây dắt (chó)
+) (đánh bài) quyền đánh đầu tiên
+) máng dẫn nước (đến cối xay lúa)
+) (điện học) dây dẫn chính
+) (điện học) sự sớm (pha)
+) (kỹ thuật) bước (răng ren)
+) lânh đạo, lânh đạo bằng thuyết phục; dẫn đường, hướng dẫn, dẫn dắt
+) chỉ huy, đứng đầu
+) đưa đến, dẫn đến
+) trải qua, kéo dài (cuộc sống...)
+) làm cho, khiến cho
+) (đánh bài) đánh trước tiên
+) hướng (ai) trả lời theo ý muốn bằng những câu hỏi khôn ngoan
+) chỉ huy, dẫn đường, hướng dẫn
+) (đánh bài) đánh đầu tiên
+) đưa đi trệch
+) dẫn lạc đường; đưa vào con đường lầm lạc
+) khiến cho đi theo một cách không suy nghĩ; dẫn đi
+) đưa vào, dẫn vào, dẫn đến
+) bắt đầu (câu chuyện, cuộc khiêu vũ...)
+) đưa đến, dẫn đến
+) hướng câu chuyện về (một vấn đề)
+) chuẩn bị cho (một cái gì)
+) không đưa đến đâu, không đem lại kết quả gì
+) dắt mũi ai, bắt ai phải làm theo ý mình
+) (xem) dog
+) làm tình làm tội ai rồi mới cho một cái gì
+) mở đầu vũ hội
+) (nghĩa bóng) đi đầu, đi tiên phong
+) đi đầu, đi tiên phong
+) làm lễ cưới ai, cưới ai làm v
+) tờ, lá, diệp"
detailed,provide details for,v,,detail,"
+) cặn kẽ, tỉ mỉ, nhiều chi tiết
+) được làm chi tiếtdetail /'di:teil/
+) chi tiết, tiểu tiết; điều tỉ mỉ, điều vụn vặt
+) (kỹ thuật) chi tiết (máy)
+) (quân sự) phân đội, chi đội (được cắt đi làm nhiệm vụ riêng lẻ)
+) (quân sự) sự trao nhật lệnh
+) kể chi tiết, trình bày tỉ mỉ
+) (quân sự) cắt cử
+) chi tiết"
heuristic,a commonsense rule (or set of rules) intended to increase the probability of solving some problem,n,,heuristic,"
+) để tìm ra, để khám phá
+) hơrixtic"
terminal,station where transport vehicles load or unload passengers or goods,n,,terminal,"
+) cuối, chót, tận cùng
+) vạch giới hạn, định giới hạn (đường mốc)
+) ba tháng một lần, theo từng quý
+) đầu cuối, phần chót
+) (ngành đường sắt) ga cuối cùng
+) (điện học) cực, đầu (dây dẫn)
+) (ngôn ngữ học) đuôi từ, từ vĩ
+) cuối, điểm cuối"
shuffle,the act of mixing cards haphazardly,n,,shuffle,"
+) sự kéo lê chân
+) (đánh bài) sự xáo bài; lượt xáo bài
+) sự xáo trộn
+) sự ăn nói mập mờ; sự thoái thác; hành động lẩn tránh; hành động lừa dối
+) lê (chân); lê chân
+) (đánh bài) xáo, trang (bài); xáo bài, trang bài
+) xáo trộn, trộn lẫn
+) bỏ, đổ, trút (trách nhiệm)
+) (+ on) lúng túng mặc vội vào; (+ off) lúng túng cởi vội ra
+) luôn luôn đổi chỗ, luôn luôn xê dịch
+) thay đổi ý kiến, dao động
+) tìm cách thoái thác, tìm cách lẩn tránh; lừa dối
+) (nghĩa bóng) thay đổi con bài, đổi chính sách
+) (lý thuyết trò chơi) trộn bài, trang bài"
graph,a visual representation of the relations between certain quantities plotted with reference to a set of axes,n,,graph,"
+) đồ thị
+) (toán học) mạch
+) vẽ đồ thị; minh hoạ bằng đồ thị
+) máy in thạch
+) in thạch
+) (Tech) đồ thị, đồ họa, đồ hình; vẽ đồ thị (đt)
+) biểu đồ, đồ thị, đồ hình, mạch
+) g. of a equation đồ thị của một phương trình
+) alternating g. đồ hình thay phiên
+) lipartite g. đồ thị hai nhánh
+) brocken line g. đồ thị có dạng hình gấp khúc
+) bunch g. đồ thị thành chùm
+) circular g. đồ thị vòng
+) critical g. (tô pô) đồ thị tới hạn
+) high-low g. (thống kê) biểu đồ các cực trị
+) kinematic (al) g. đồ thị động lực
+) linear g. tuyến đồ
+) planar g. (tô pô) đồ hình phẳng
+) superposed g. (tô pô) đồ hình chồng chất"
copyright,a document granting exclusive right to publish and sell literary or musical or artistic work,n,,copyright,"
+) bản quyền, quyền tác giả
+) tác giả giữ bản quyền
+) do tác giả giữ bản quyền; được đảm bảo quyền tác giả
+) giữ quyền tác giả
+) (Tech) tác quyền, bản quyền"
defining,any process serving to define the shape of something,n,,shaping,"
+) hạn chế nội dung của từ hay ngữdefine /di'fain/
+) định nghĩa (một từ...)
+) định rõ, vạch rõ (hình dạng, ranh giới...)
+) xác định đặc điểm, chỉ rõ tính chất
+) định nghĩa, xác định"
reproduction,the process of generating offspring,n,,reproduction,"
+) sự tái sản xuất
+) sự sinh sôi nẩy nở; sự sinh sản
+) sự sao chép, sự sao lại, sự mô phỏng; bản (bức tranh, bài văn...) sao chép; bản (bức tranh, bài văn...) mô phỏng
+) (vật lý) sự phát lại, sự lặp lại
+) tái sản xuất; [bản, sự] sao chụp lại
+) data r. (máy tính) sản lại các dữ kiện"
balanced,bring into balance or equilibrium,v,"She has to balance work and her domestic duties
balance the two weights",balance,"
+) (Tech) được cân bằng
+) được cân bằngbalance /'bæləns/
+) cái cân
+) sự thăng bằng sự cân bằng; cán cân
+) sự cân nhắc kỹ
+) sự thăng trầm của số mệnh
+) (Balance) (thiên văn học) cung thiên bình, toà thiên bình
+) đối trọng
+) quả lắc (đồng hồ)
+) (thương nghiệp) bản đối chiếu thu chi, bản quyết toán
+) sai ngạch; số còn lại, số dư
+) (nghệ thuật) sự cân xứng
+) do dự, lưỡng lự
+) ở vào tình trạng (nguy ngập)
+) anh ta ở vào thế có lợi
+) cầm cân nảy mực
+) (xem) turn
+) làm cho thăng bằng; làm cho cân bằng
+) làm cho cân xứng
+) cân nhắc (một vấn đề, một giải pháp)
+) (thương nghiệp) quyết toán
+) do dự, lưỡng lự
+) cân nhau, cân xứng
+) (thương nghiệp) cân bằng
+) (Tech) cân bằng, thăng bằng; cái cân
+) cái cân; sự cân bằng; quả lắc đồng hồ; đối trọng: (toán kinh tế)cán cân thanh toán
+) dynamic b. cân động lực
+) spring b. cân lò xo
+) static b. cân tĩnh học
+) torsion b (vật lí) cân xoắn"
prognostic,a sign of something about to happen,n,he looked for an omen before going into battle,omen,"
+) (y học) đoán trước, tiên lượng
+) điềm báo trước, triệu chứng"
spectrum,an ordered array of the components of an emission or wave,n,,spectrum,"
+) hình ảnh
+) (vật lý) phổ, quang phổ
+) phổ, hàm phổ, mật độ phổ; đồ thị của hàm phổ
+) s. of a function phổ của một hàm
+) s. of a transformation phổ của một phép biến đổi
+) absorption s. phổ hút thu
+) continuous s. (giải tích) phổ liên tục
+) direct s. (đại số) phổ thẳng
+) energy s. phổ năng lượng
+) hereditary s. (giải tích) phỉi di truyền
+) integrated s. (điều khiển học) hàm phổ, đồ thị hàm phổ
+) inverse s. phổ ngược
+) line s. (vật lí) phổ vạch
+) mixed s. phổ hỗn tạp
+) power s. phổ năng lượng
+) point s. phổ điểm, phổ rời rạc
+) residual s. phổ dư
+) simple s. phổ đơn"
array,an orderly arrangement,n,an array of troops in battle order,array,"
+) sự dàn trận, sự bày binh bố trận
+) lực lượng quân đội
+) dãy sắp xếp ngay ngắn; hàng ngũ chỉnh tề
+) (pháp lý) danh sách hội thẩm
+) (thơ ca) quần áo, đồ trang điểm
+) (điện học) mạng anten ((cũng) antenna array)
+) mặc quần áo, diện; trang điểm ((nghĩa đen) &amp;amp; (nghĩa bóng))
+) sắp hàng, dàn hàng; dàn trận
+) (pháp lý) lập danh sách (các vị hội thẩm)
+) (Tech) giàn, mạng; dẫy số, bảng; hàng; mảng; hệ thống, hệ
+) bảng, dãy sắp xếp; (máy tính) mảng
+) frequency a. dãy tần số
+) rectanggular a. bảng chữ nhật
+) square a. bảng vuông
+) two-way a. bảng hai lối vào"
diverse,many and different,s,"tourist offices of divers nationalities
a person of diverse talents",divers,"
+) gồm nhiều loại khác nhau, linh tinh
+) thay đổi khác nhau
+) khác nhau, khác"
identification,the act of designating or identifying something,n,,designation,"
+) sự đồng nhất hoá, sự làm thành đồng nhất
+) sự nhận ra, sự nhận biết sự nhận diện; sự nhận dạng; nét để nhận ra, nét để nhận biết, nét để nhận diện, nét để nhận dạng (người nào, vật gì)
+) sự phát hiện ra, sự nhận diện ra
+) sự gắn bó chặt chẽ với; sự gia nhập, sự dự vào
+) [sự, phép] đồng nhất; (điều khiển học) sự nhận ra; ký hiệu
+) coded i. ký hiệu mã hoá
+) signal i. sự nhận ra ký hiệu"
consistently,in a systematic or consistent manner,r,they systematically excluded women,systematically,"
+) (+ with) phù hợp với, thích hợp với
+) kiên định, trước sau như một"
temporal,the semantic role of the noun phrase that designates the time of the state or action denoted by the verb,n,,temporal_role,"
+) (thuộc) thời gian
+) (thuộc) trần tục, (thuộc) thế tục; (thuộc) thế gian
+) (giải phẫu) (thuộc) thái dương
+) xương thái dương"
broadly,without regard to specific details or exceptions,r,he interprets the law broadly,broadly,"
+) rộng, rộng rãi
+) chung, đại khái, đại thể"
established,set up or found,v,She set up a literacy program,establish,"
+) đã thành lập, đã thiết lập
+) đã được đặt (vào một địa vị)
+) đã xác minh (sự kiện...)
+) đã được đưa vào (thói quen, sự tín ngưỡng...)
+) đã chính thức hoá (nhà thờ)
+) đã định, đã chắc, được củng cố; đã thích nghi
+) có uy tínestablish /is'tæbliʃ/
+) lập, thành lập, thiết lập, kiến lập
+) đặt (ai vào một địa vị...)
+) chứng minh, xác minh (sự kiện...)
+) đem vào, đưa vào (thói quen, tín ngưỡng...)
+) chính thức hoá (nhà thờ)
+) củng cố, làm vững chắc
+) thiết lập"
hypotheses,a proposal intended to explain certain facts or observations,n,,hypothesis,"
+) giả thuyếthypothesis /hai'pɔθisis/
+) giả thuyết
+) giả thiết
+) to test h. with experiment chứng minh giả thiết bằng thực nghiệm under the h. theo giả thiết admissible h. giả thiết chấp nhận được
+) alternative h. đối giả thiết
+) composite h. (thống kê) giả thiết hợp
+) ergodic h. giả thiết egođic
+) linaer h. giả thiết tuyến tính
+) non-parametric h. giả thiết phi tham số
+) null h. giả thiết không
+) similarity h. giả thiết đồng dạng
+) simple h. (thống kê) giả thiết đơn giản
+) statistic h. giả thiết thống kê
+) working h. (thống kê) giả thiết làm việc"
addressing,speak to,v,He addressed the crowd outside the window,address,"
+) (Tech) định địa chỉ, định vị trí (d)address /ə'dres/
+) địa chỉ
+) bài nói chuyện, diễn văn
+) cách nói năng; tác phong lúc nói chuyện
+) sự khéo léo, sự khôn ngoan
+) (số nhiều) sự ngỏ ý, sự tỏ tình, sự tán tỉnh
+) (thương nghiệp) sự gửi đi một chuyến tàu hàng
+) đề địa chỉ
+) gửi
+) xưng hô, gọi
+) nói với, nói chuyện với, diễn thuyết trước; viết cho
+) to address oneself to chăm chú, toàn tâm toàn ý
+) (thể dục,thể thao) nhắm
+) (Tech) địa chỉ; vị trí; định đia chỉ, định vị (d/đ)
+) địa chỉ
+) current a. địa chỉ hiện đại
+) fast a. địa chỉ cố định
+) floating a. địa chỉ di động
+) start a. địa chỉ [ban đầu, xuất phát]
+) zero a. địa chỉ không, địa chỉ zerô"
learner,someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs,n,,learner,"
+) người học, học trò, người mới học"
made,engage in,v,"make love, not war
make an effort
do research",make,"
+) làm, hoàn thành, thực hiện
+) hình dáng, cấu tạo (của một vật); kiểu (quần áo); tầm vóc, dáng, tư thế (người)
+) sự chế nhạo
+) (điện học) công tắc, cái ngắt điện
+) (thông tục) thích làm giàu
+) đang tăng, đang tiến
+) (từ Mỹ,nghĩa Mỹ),  (từ lóng) đang tìm người để ăn nằm với
+) làm, chế tạo
+) sắp đặt, xếp đặt, dọn, thu dọn, sửa soạn, chuẩn bị
+) kiếm được, thu
+) làm, gây ra
+) làm, thực hiện, thi hành
+) khiến cho, làm cho
+) bắt, bắt buộc
+) phong, bổ nhiệm, lập, tôn
+) ước lượng, đánh giá, định giá, kết luận
+) đến; tới; (hàng hải) trông thấy
+) hoàn thành, đạt được, làm được, đi được
+) thành, là, bằng
+) trở thành, trở nên
+) nghĩ, hiểu
+) đi, tiến (về phía)
+) lên, xuống (thuỷ triều)
+) làm, ra ý, ra vẻ
+) sửa soạn, chuẩn bị
+) (từ cổ,nghĩa cổ) theo đuổi, đeo đuổi
+) bất lợi, có hại cho
+) vội vàng ra đi
+) huỷ hoại, giết, thủ tiêu, khử
+) lãng phí, phung phí
+) xoáy, ăn cắp
+) trở lại một nơi nào...
+) đi mất, chuồn, cuốn gói
+) xoáy, ăn cắp
+) đặt, dựng lên, lập
+) xác minh, chứng minh
+) hiểu, giải thích, tìm ra manh mối, nắm được ý nghĩa, đọc được
+) phân biệt, nhìn thấy, nhận ra
+) (từ Mỹ,nghĩa Mỹ) diễn biến, tiến triển
+) chuyển, nhượng, giao, để lại
+) sửa lại (cái gì)
+) làm thành, cấu thành, gộp thành, hợp lại, gói ghém, thu vén
+) lập, dựng
+) bịa, bịa đặt
+) hoá trang
+) thu xếp, dàn xếp, dàn hoà
+) đền bù, bồi thường
+) bổ khuyết, bù, bù đắp
+) (từ lóng) sử dụng
+) (xem) amends
+) làm như thể, hành động như thể
+) (xem) beleive
+) (xem) bold
+) (xem) meet
+) tiếp đãi tự nhiên không khách sáo
+) (xem) friend
+) đùa cợt, chế nhạo, giễu
+) (xem) good
+) (xem) haste
+) (xem) hash
+) (xem) hay
+) (xem) head
+) (xem) head
+) (xem) headway
+) tự nhiên như ở nhà, không khách sáo
+) (xem) love
+) coi thường, coi rẻ, không chú ý đên, không quan tâm đến
+) (xem) much
+) (xem) most
+) (xem) molehill
+) (xem) makr
+) (xem) merry
+) (xem) water
+) (xem) mar
+) chuẩn bị sãn sàng
+) nhường chổ cho
+) gương buồm, căng buồm
+) lẩn đi, trốn đi
+) (xem) shift
+) (xem) term
+) chẳng có chuyện gì cũng làm rối lên
+) (xem) tool
+) (xem) mind
+) (xem) time
+) (xem) war
+) (xem) water
+) (xem) way
+) (xem) way
+) làm, sản xuất; hoàn thành; (kỹ thuật) sự đóng (mạch)"
predetermined,determine beforehand,v,,predetermine,"
+) được xác định trước; được thiết lập sơ bộpredetermine /'pri:di'tə:min/
+) định trước, quyết định trước
+) thúc ép (ai... làm gì) trước
+) xác định trước, quyết định trước"
categorical,relating to or included in a category or categories,a,,categorical,"
+) tuyệt đối, khẳng định, vô điều kiện
+) rõ ràng, minh bạch; xác thực
+) (thuộc) phạm trù"
art,the products of human creativity; works of art collectively,n,"an art exhibition
a fine collection of art",art,"
+) tài khéo léo, kỹ xảo
+) nghệ thuật; mỹ thuật
+) mỹ nghệ; nghề đòi hỏi sự khéo léo
+) thuật, kế, mưu kế
+) đời người thì ngắn ngủi, nhưng công trình nghệ thuật thì tồn tại mãi mãi
+) đồng mưu và có nhúng tay vào tội ác
+) ma thuật, yêu thuật
+) quyền thuật, quyền Anh
+) (Tech) mỹ thuật; nghệ thuật; kỷ xảo"
explicitly,in an explicit manner,r,in his foreword Professor Clark puts it explicitly,explicitly,"
+) rõ ràng, dứt khoát"
predictive,of or relating to prediction; having value for making predictions,s,,predictive,"
+) nói trước; đoán trước, dự đoán"
clinic,a medical establishment run by a group of medical specialists,n,,clinic,"
+) bệnh viện thực hành
+) (y học) sự lên lớp ở buồng bệnh, sự thực hành ở buồng bệnh"
recognized,accept (someone) to be what is claimed or accept his power and authority,v,"The Crown Prince was acknowledged as the true heir to the throne
We do not recognize your gods",acknowledge,"
+) được công nhận, được thừa nhận, được chấp nhận
+) (thương nghiệp) được tín nhiệm
+) công nhận, thừa nhận, chấp nhận
+) nhìn nhận
+) nhận ra
+) (từ Mỹ,nghĩa Mỹ) chấp nhận cho (một đại biểu) phát biểu
+) đoán nhận phana biệt"
