word,meaning,part_of_speech,examples,meaning_vi,phonetic,count
client,"
+) a person who seeks the advice of a lawyer",n,"
+) ","+) khách hàng (của luật sư, cửa hàng...)
+) khách/chủ",client,0.0
plenty,"
+) a full supply","n, r","
+) there was plenty of food for everyone
+) a batch of letters
+) a deal of trouble","+) sự sung túc, sự phong phú, sự dồi dào, sự có nhiều
+) sừng dê kết hoa quả (tượng trưng cho sự phong phú)
+) (thông tục) hoàn toàn, rất lắm",plenty,0.0
pleasure,"
+) a fundamental feeling that is hard to define but that people desire to experience",n,"
+) he was tingling with pleasure
+) a joy to behold
+) the pleasure of his company","+) niềm vui thích, điều thích thú, điều thú vị, điều vui thú, điều khoái trá
+) khoái lạc, hoan lạc; sự ăn chơi truỵ lạc
+) ý muốn, ý thích",pleasure,0.0
mystery,"
+) something that baffles understanding and cannot be explained",n,"
+) how it got out is a mystery
+) it remains one of nature's secrets","+) điều huyền bí, điều thần bí
+) bí mật, điều bí ẩn
+) (số nhiều) (tôn giáo) nghi lễ bí truyền, nghi thức bí truyền",mystery,0.0
official,"
+) a worker who holds or is invested with an office","a, n, s","
+) the golfer asked for an official who could give him a ruling
+) official permission
+) an official representative","+) (thuộc) chính quyền; (thuộc) văn phòng
+) chính thức
+) trịnh trọng, theo nghi thức",official,0.0
portrait,"
+) a word picture of a person's appearance and character",n,"
+) the photographer made excellent portraits","+) chân dung, ảnh
+) hình tượng, điển hình
+) sự miêu tả sinh động",portrayal,0.0
marketing,"
+) the exchange of goods for an agreed sum of money","n, v","
+) most companies have a manager in charge of marketing
+) does the weekly marketing at the supermarket
+) The company is marketing its new line of beauty products","+) sự tiếp thịMarket
+) (Econ) Thị trường.
+) Thông thường, đó là bất kỳ khung cảnh nào trong đó diễn ra việc mua bán các loại hàng hoá và dịch vụ.market /'mɑ:kit/",selling,0.0
attitude,"
+) a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways",n,"
+) he had the attitude that work was fun
+) he assumed an attitude of surrender
+) the actor struck just the right attitude","+) thái độ, quan điểm
+) tư thế, điệu bộ, dáng dấp",attitude,0.0
naturally,"
+) as might be expected",r,"
+) naturally, the lawyer sent us a huge bill
+) naturally grown flowers
+) he was naturally lazy","+) vốn, tự nhiên
+) đương nhiên, tất nhiên, cố nhiên
+) một cách tự nhiên",naturally,0.0
management,"
+) the act of managing something",n,"
+) he was given overall management of the program
+) is the direction of the economy a function of government?","+) sự trông nom, sự quản lý
+) sự điều khiển
+) ban quản lý, ban quản đốc",management,0.0
port,"
+) a place (seaport or airport) where people and merchandise can enter or leave a country","s, n, v","
+) port the helm
+) the captain ported the ship at night
+) The ship finally ported","+) cảng
+) (nghĩa bóng) nơi ẩn náu; nơi tỵ nạn
+) (Ê-cốt) cổng thành",port,0.0
performance,"
+) a dramatic or musical entertainment",n,"
+) they listened to ten different performances
+) the play ran for 100 performances
+) the frequent performances of the symphony testify to its popularity","+) sự làm; sự thực hiện; sự thi hành (lệnh...); sự cử hành (lễ...); sự hoàn thành (nhiệm vụ)
+) việc diễn, việc đóng (phim, kịch...); cuộc biểu diễn
+) kỳ công",performance,0.0
personally,"
+) as yourself",r,"
+) speaking personally, I would not want to go
+) he is personally repulsive
+) he took her comments personally","+) đích thân, với tư cách cá nhân (không đại diện bởi người khác)
+) bản thân
+) về phần tôi, đối với tôi",personally,0.0
native,"
+) an indigenous person who was born in a particular place","a, n, s","
+) the art of the natives of the northwest coast
+) the Canadian government scrapped plans to tax the grants to aboriginal college students
+) he is a native of Brazil","+) (thuộc) nơi sinh
+) tự nhiên, bẩm sinh
+) (thuộc) địa phương; (thuộc) thổ dân",native,0.0
wedding,"
+) the social event at which the ceremony of marriage is performed","n, v","
+) their marriage was conducted in the chapel
+) The minister married us on Saturday
+) We were wed the following week","+) lễ cướiwed /wed/
+) g chồng, cưới vợ cho; kết hôn với; làm lễ cưới cho
+) kết hợp, hoà hợp",wedding,0.0
politics,"
+) social relations involving intrigue to gain authority or power",n,"
+) office politics is often counterproductive
+) unemployment dominated the politics of the inter-war years
+) government agencies multiplied beyond the control of representative politics","+) chính trị
+) hoạt động chính trị
+) chính kiến, quan điểm chính trị",politics,0.0
nation,"
+) a politically organized body of people under a single government",n,"
+) the state has elected a new president
+) African nations
+) students who had come to the nation's capitol","+) dân tộc
+) nước, quốc gia",state,0.0
politician,"
+) a leader engaged in civil administration",n,"
+) ","+) nhà chính trị; chính khách
+) con buôn chính trị",politician,0.0
narrative,"
+) a message that tells the particulars of an act or occurrence or course of events; presented in writing or drama or cinema or as a radio or television program","n, s","
+) his narrative was interesting
+) Disney's stories entertain adults as well as children
+) narrative poetry","+) chuyện kể, bài tường thuật
+) thể văn kể chuyện, thể văn tường thuật
+) dưới hình thức kể chuyện; có tính chất tường thuật",narrative,0.0
assist,"
+) the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose","n, v","
+) he gave me an assist with the housework
+) could not walk without assistance
+) rescue party went to their aid","+) giúp, giúp đỡ
+) dự, có mặt
+) giúp đỡ, tương trợ",aid,0.0
political,"
+) involving or characteristic of politics or parties or politicians; - Daniel Goleman",a,"
+) calling a meeting is a political act in itself
+) political pressure
+) a political machine","+) chính trị
+) (thuộc) việc quản lý nhà nước, (thuộc) chính quyền
+) cán sự (của chính quyền)",political,0.0
persuade,"
+) win approval or support for",v,"
+) Carry all before one
+) His speech did not sway the voters
+) You can't persuade me to buy this ugly vase!",+) làm cho tin; thuyết phục,carry,0.0
marriage,"
+) the state of being a married couple voluntarily joined for life (or until divorce)",n,"
+) a long and happy marriage
+) God bless this union
+) his second marriage was happier than the first","+) sự cưới xin, sự kết hôn, hôn nhân
+) lễ cưới",marriage,0.0
assignment,"
+) a duty that you are assigned to perform (especially in the armed forces)",n,"
+) hazardous duty
+) the first task is the assignment of an address to each datum
+) the appointment had to be approved by the whole committee","+) sự giao việc, sự phân công; (từ Mỹ,nghĩa Mỹ) việc được giao, việc được phân công
+) sự chia phần
+) sự cho là, sự quy cho",assignment,0.0
photographer,"
+) someone who takes photographs professionally",n,"
+) ","+) nhà nhiếp ảnh, thợ nhiếp ảnh",photographer,0.0
nail,"
+) horny plate covering and protecting part of the dorsal surface of the digits","n, v","
+) nail the board onto the wall
+) the police nabbed the suspected criminals
+) He smashed a 3-run homer","+) móng (tay; chân); móng vuốt (thú vật)
+) cái đinh
+) nên (đơn vị đo lường cổ, bằng khoảng 55cm)",nail,0.0
clause,"
+) (grammar) an expression including a subject and predicate but not constituting a complete sentence",n,"
+) ","+) (ngôn ngữ học) mệnh đề
+) điều khoản (của một hiệp ước...)
+) (Tech) điều khoản; phó lệnh",clause,0.0
meanwhile,"
+) the time between one event, process, or period and another","n, r","
+) meanwhile the socialists are running the government
+) meanwhile, back at the ranch...
+) meanwhile I will not think about the problem","+) in the meantime trong lúc ấy, trong khi ấy
+) trong khi chờ đợi, trong lúc ấy, đang lúc ấy",interim,0.0
policy,"
+) a plan of action adopted by an individual or social group",n,"
+) it was a policy of retribution
+) a politician keeps changing his policies
+) they debated the policy or impolicy of the proposed legislation","+) chính sách (của chính phủ, đảng...)
+) cách xử sự, cách giải quyết (vấn đề...) đường lối hành động
+) sự khôn ngoan, sự khôn khéo, sự tin tưởng, sự sáng suốt, sự sắc bén (về chính trị, về sự chỉ đạo công việc)",policy,0.0
weight,"
+) the vertical force exerted by a mass as a result of gravity","n, v","
+) his opinion carries great weight
+) the progression implied an increasing weightiness of the items listed
+) bowed down by the weight of responsibility","+) trọng lượng, sức nặng
+) cái chặn (giấy...)
+) qu cân",weight,0.0
photography,"
+) the act of taking and printing photographs",n,"
+) ","+) thuật nhiếp ảnh, thuật chụp ảnh; sự chụp ảnh",photography,0.0
economy,"
+) the system of production and distribution and consumption",n,"
+) economy of effort
+) the Scots are famous for their economy
+) it was a small economy to walk to work every day","+) sự quản lý kinh tế; nền kinh tế; tổ chức kinh tế
+) sự tiết kiệm (thì giờ, tiền của...); phương pháp tiết kiệm
+) cơ cấu tổ chức",economy,0.0
prisoner,"
+) a person who is confined; especially a prisoner of war",n,"
+) ","+) người bị giam giữ, người tù; con vật bị nhốt
+) tù binh ((cũng) prisoner of war)
+) trò chơi bắt tù binh (của trẻ con)",prisoner,0.0
sweet,"
+) English phonetician; one of the founders of modern phonetics (1845-1912)","a, n, s, r","
+) an angelic smile
+) a cherubic face
+) looking so seraphic when he slept","+) ngọt
+) ngọt (nước)
+) thơm",Sweet,0.0
religion,"
+) a strong belief in a supernatural power or powers that control human destiny",n,"
+) he lost his faith but not his morality
+) he was raised in the Baptist religion
+) a member of his own faith contradicted him","+) tôn giáo, đạo; sự tín ngưỡng, sự tu hành
+) sự sùng bái; việc có nghĩa vụ phải làm",religion,0.0
resource,"
+) available source of wealth; a new or reserve supply that can be drawn upon when needed",n,"
+) the local library is a valuable resource
+) a man of resource","+) phương sách, phương kế, thủ đoạn, cách xoay xở; chỗ trông mong vào (khi gặp thế bí)
+) (số nhiều) tài nguyên
+) (số nhiều) tiềm lực kinh tế và quân sự (của một nước)",resource,0.0
vehicle,"
+) a conveyance that transports people or objects",n,"
+) his editorials provided a vehicle for his political views
+) a congregation is a vehicle of group identity
+) the play was just a vehicle to display her talents","+) xe, xe cộ
+) (nghĩa bóng) vật truyền, phương tiện truyền bá
+) (dược học) tá dược lỏng",vehicle,0.0
reservation,"
+) a district that is reserved for particular purpose",n,"
+) he recommended her without any reservations
+) wondered who had made the booking","+) sự hạn chế; điều kiện hạn chế
+) (từ Mỹ,nghĩa Mỹ) vùng đất dành riêng
+) (từ Mỹ,nghĩa Mỹ) sự dành trước, sự giữ trước (vé tàu, buồng ở, chỗ ngồi ở rạp hát)",reservation,0.0
require,"
+) require as useful, just, or proper",v,"
+) It takes nerve to do what she did
+) success usually requires hard work
+) This job asks a lot of patience and skill","+) đòi hỏi, yêu cầu
+) cần đến, cần phải có
+) nếu cần đến",necessitate,0.0
annoy,"
+) cause annoyance in; disturb, especially by minor irritations",v,"
+) Mosquitoes buzzing in my ear really bothers me
+) It irritates me that she never closes the door after she leaves","+) làm trái ý, làm khó chịu, làm bực mình; chọc tức, làm cho tức giận
+) quấy rầy, làm phiền
+) (quân sự) quấy nhiễu, quấy rối (kẻ địch)",annoy,0.0
represent,"
+) take the place of or be parallel or equivalent to",v,"
+) Because of the sound changes in the course of history, an 'h' in Greek stands for an 's' in Latin
+) What does the Statue of Liberty symbolize?
+) This period is represented by Beethoven","+) tiêu biểu cho, tượng trưng cho; tương ứng với
+) thay mặt, đại diện
+) miêu tả, hình dung",represent,0.0
repeated,"
+) to say, state, or perform again","s, v","
+) She kept reiterating her request
+) He could never replicate his brilliant performance of the magic trick
+) This is a recurring story","+) nhiều lần nhắc đi nhắc lại, lặp đi lặp lại
+) (thông tục) sự nhắc lại, sự lặp lại; cái lặp lại
+) (sân khấu) tiết mục được biểu diễn lại (sau khi khản giả yêu cầu)",repeat,0.0
rent,"
+) a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service","n, v","
+) there was a rip in his pants
+) she had snags in her stockings
+) he gave the envelope a vigorous rip","+) chỗ rách (ở quần áo); kẽ hở (ở đám mây); khe lá
+) chỗ nẻ, kẽ nứt (ở mặt đất), khe núi
+) (nghĩa bóng) sự phân ly, sự chia rẽ (trong một đảng...)",rent,0.0
remote,"
+) a device that can be used to control a machine or apparatus from a distance","a, n, s","
+) he lost the remote for his TV
+) distant lands
+) remote stars","+) xa, xa xôi, xa xăm
+) xa cách, cách biệt (thái độ...)
+) hẻo lánh",remote_control,0.0
champion,"
+) someone who has won first place in a competition","s, n, v","
+) all their supporters came out for the game
+) they are friends of the library
+) a champion show dog","+) người vô địch, nhà quán quân
+) (định ngữ) được giải nhất; vô địch, quán quân
+) chiến sĩ",champion,0.0
support,"
+) the activity of providing for or maintaining by supplying with money or necessities","n, v","
+) his support kept the family together
+) they gave him emotional support during difficult times
+) the president no longer has the support of his own party","+) sự ủng hộ
+) người ủng hộ
+) người nhờ cậy, nơi nương tựa, cột trụ (của gia đình...); nguồn sinh sống",support,0.0
remind,"
+) put in the mind of someone",v,"
+) Remind me to call Mother","+) nhắc nhở, làm nhớ lại (cái gì)",remind,0.0
remain,"
+) stay the same; remain in a certain state",v,"
+) The dress remained wet after repeated attempts to dry it
+) rest assured
+) stay alone","+) đồ thừa, cái còn lại
+) tàn tích, di vật, di tích
+) di cảo (của một tác giả)",stay,0.0
religious,"
+) a member of a religious order who is bound by vows of poverty and chastity and obedience","a, n, s","
+) religious texts
+) a member of a religious order
+) lords temporal and spiritual","+) (thuộc) tôn giáo; (thuộc) tín ngưỡng; (thuộc) sự tu hành
+) sùng đạo, mộ đạo, ngoan đạo
+) chu đáo, cẩn thận, tận tâm cao",religious,0.0
reliable,"
+) worthy of reliance or trust","a, s","
+) a reliable source of information
+) a dependable worker
+) a dependable worker","+) chắc chắn, đáng tin cậy; xác thực (tin tức...)
+) tin cậy được",reliable,0.0
primary,"
+) a preliminary election where delegates or nominees are chosen","a, n, s","
+) current through the primary coil induces current in the secondary coil
+) primary goals
+) a primary effect","+) nguyên thuỷ, đầu, đầu tiên
+) gốc, nguyên, căn bản
+) sơ đẳng, sơ cấp",primary,0.0
release,"
+) merchandise issued for sale or public showing (especially a record or film)","n, v","
+) a new release from the London Symphony Orchestra
+) there was a sudden release of oxygen
+) the release of iodine from the thyroid gland","+) sự giải thoát, sự thoát khỏi (điều lo lắng, sầu muộn, bệnh tật...)
+) sự thả, sự phóng thích
+) sự phát hành (cuốn sách, bản tin); sự đưa ra bàn (một loại ô tô mới...)",release,0.0
relaxing,"
+) become less tense, rest, or take one's ease","a, v","
+) He relaxed in the hot tub
+) Let's all relax after a hard day's work
+) relax the tension on the rope","+) làm chùng, làm yếu đi, làm giảm đi, làm bớt căng thẳng
+) khí hậu làm bải hoảirelax /ri'læks/
+) nới lỏng, lơi ra",relax,0.0
relaxed,"
+) become less tense, rest, or take one's ease","a, v","
+) He relaxed in the hot tub
+) Let's all relax after a hard day's work
+) relax the tension on the rope","+) thanh thản, thoải mái, không cảm thấy lo nghĩ, không cảm thấy căng thẳngrelax /ri'læks/
+) nới lỏng, lơi ra
+) làm dịu đi, làm chùng, làm bớt căng thẳng",relax,0.0
relative,"
+) a person related by blood or marriage","a, n, s","
+) police are searching for relatives of the deceased
+) he has distant relations back in New Jersey
+) a relative stranger","+) có kiên quan
+) cân xứng với, cân đối vơi, tuỳ theo
+) (ngôn ngữ học) quan hệ",relative,0.0
relation,"
+) an abstraction belonging to or characteristic of two entities or parts together",n,"
+) police are searching for relatives of the deceased
+) he has distant relations back in New Jersey
+) he was the hero according to his own relation","+) sự kể lại, sự thuật lại; chuyện kể lại
+) sự liên lạc, mối quan hệ, mối tương quan, mối liên hệ
+) (số nhiều) sự giao thiệp",relation,0.0
related,"
+) make a logical or causal connection","a, v","
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) có liên quan, có quan hệ với ai/ cái gì
+) có họ với (cùng một họ, cùng một tầng lớp )relate /ri'leit/
+) kể lại, thuật lại",associate,0.0
relate,"
+) make a logical or causal connection",v,"
+) I cannot connect these two pieces of evidence in my mind
+) colligate these facts
+) I cannot relate these events at all","+) kể lại, thuật lại
+) liên hệ, liên kết
+) có quan hệ, có liên quan",associate,0.0
reject,"
+) the person or thing that is rejected or set aside as inferior in quality","n, v","
+) I reject the idea of starting a war
+) The journal rejected the student's paper
+) He refused my offer of hospitality","+) vật bị loại, vật bỏ đi, vật không được chọn
+) người bị loại (trong kỳ tuyển quân...), người bị đánh hỏng thi
+) (thương nghiệp) phế phẩm",cull,0.0
regularly,"
+) in a regular manner",r,"
+) letters arrived regularly from his children
+) regularly shaped objects
+) try to breathe evenly","+) đều đều, đều đặn, thường xuyên
+) theo quy tắc, có quy củ
+) (thông tục) hoàn toàn, thật s",regularly,0.0
reflect,"
+) manifest or bring back",v,"
+) This action reflects his true beliefs
+) I mulled over the events of the afternoon
+) philosophers have speculated on the question of God for thousands of years","+) phản chiếu, phản xạ, dội lại
+) phản ánh
+) mang lại (hành động, kết quả...)",reflect,0.0
reference,"
+) a remark that calls attention to something or someone","n, v","
+) she made frequent mention of her promotion
+) there was no mention of it
+) the speaker made several references to his wife","+) sự chuyển đến (một người, một tổ chức có thẩm quyền) để xem xét, sự giao cho giải quyết (một vấn đề gì); thẩm quyền giải quyết
+) sự hỏi ý kiến
+) sự xem, sự tham khảo",mention,0.0
recommendation,"
+) something (as a course of action) that is recommended as advisable",n,"
+) her pleasant personality is already a recommendation
+) his wealth was not a passport into the exclusive circles of society","+) sự giới thiệu, sự tiến cử
+) làm cho người ta mến, đức tính làm cho có cảm tưởng tốt
+) sự khuyên nhủ, sự dặn bảo",recommendation,0.0
annoyed,"
+) cause annoyance in; disturb, especially by minor irritations","s, v","
+) Mosquitoes buzzing in my ear really bothers me
+) It irritates me that she never closes the door after she leaves
+) made an irritated gesture","+) bị trái ý, khó chịu, bực mình
+) bị quấy rầy, bị phiền hàannoy /ə'nɔi/
+) làm trái ý, làm khó chịu, làm bực mình; chọc tức, làm cho tức giận",annoy,0.0
receipt,"
+) the act of receiving","n, v","
+) The program committee acknowledged the submission of the authors of the paper","+) công thức (làm bánh, nấu món ăn...)
+) đơn thuốc
+) sự nhận được (thơ...)",reception,0.0
respect,"
+) (usually preceded by `in') a detail or point","n, v","
+) it differs in that respect
+) it is held in esteem
+) a man who has earned high regard","+) sự tôn trọng, sự kính trọng
+) (số nhiều) lời kính thăm
+) sự lưu tâm, sự chú ý",respect,0.0
responsibility,"
+) the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr",n,"
+) we must instill a sense of duty in our children
+) every right implies a responsibility; every opportunity, an obligation; every possession, a duty
+) it was his province to take care of himself","+) trách nhiệm
+) gánh trách nhiệm; cái phải gánh vác",duty,0.0
responsible,"
+) worthy of or requiring responsibility or trust; or held accountable","a, s","
+) a responsible adult
+) responsible journalism
+) a responsible position","+) chịu trách nhiệm
+) có trách nhiệm; đứng đắn, đáng tin cậy; có uy tín (người)
+) chính phủ không chuyên quyền",responsible,0.0
retire,"
+) go into retirement; stop performing one's work or withdraw from one's position",v,"
+) He retired at age 68
+) He retired from chess
+) The enemy withdrew","+) rời bỏ, đi ra, rút về, lui về (một nơi nào kín đáo...)
+) đi ngủ ((cũng) to retire to bed)
+) thôi việc; về hưu",retire,0.0
servant,"
+) a person working in the service of another (especially in the household)",n,"
+) theology should be the handmaiden of ethics
+) the state cannot be a servant of the church","+) người hầu, người đầy tớ, người ở
+) bầy tôi trung thành
+) vật để dùng chứ không phải để thờ; cái coi là phương tiện chứ đừng coi là mục đích",servant,0.0
seriously,"
+) in a serious manner",r,"
+) talking earnestly with his son
+) she started studying snakes in earnest
+) a play dealing seriously with the question of divorce","+) đứng đắn, nghiêm trang
+) nghiêm trọng, trầm trọng, nặng
+) thật sự, không đùa",seriously,0.0
van,"
+) any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts)",n,"
+) ","+) (quân sự) tiền đội, quân tiên phong
+) những người đi tiên phong, những người lãnh đạo (một phong trào); địa vị hàng đầu
+) xe hành lý, xe tải",avant-garde,0.0
sensible,"
+) showing reason or sound judgment","a, s","
+) a sensible choice
+) a sensible person
+) even amoeba are sensible creatures","+) có thể cảm giác được, có thể cảm thấy được
+) dễ nhận thấy
+) có cảm giác, cảm thấy, có ý thức",reasonable,0.0
seed,"
+) a small hard fruit","n, v","
+) The dandelions went to seed
+) She sowed sunflower seeds
+) seed clouds","+) hạt, hạt giống
+) tinh dịch
+) (kinh thánh) con cháu, hậu thế",seed,0.0
security,"
+) the state of being free from danger or injury",n,"
+) we support the armed services in the name of national security
+) his pension gave him security in his old age
+) insurance provided protection against loss of wages due to illness","+) sự yên ổn, sự an toàn, sự an ninh
+) tổ chức bảo vệ, cơ quan bảo vệ
+) sự bảo đảm, vật bảo đảm",security,0.0
secondary,"
+) the defensive football players who line up behind the linemen","a, n, s","
+) the stone will be hauled to a secondary crusher
+) a secondary source
+) a secondary issue","+) thứ hai, thứ nhì, thứ, phụ, không quan trọng
+) chuyển hoá
+) trung học",secondary,0.0
sculpture,"
+) a three-dimensional work of plastic art","n, v","
+) sculpt a swan out of a block of ice
+) She is sculpting the block of marble into an image of her husband","+) thuật điêu khắc, thuật chạm trổ
+) công trình điêu khắc
+) (sinh vật học) đường vân, nét chạm (trên vỏ sò...)",sculpture,0.0
script,"
+) a written version of a play or other dramatic composition; used in preparing for a performance","n, v","
+) she recognized his handwriting
+) his hand was illegible
+) The playwright scripted the movie","+) (pháp lý) nguyên bản, bản chính
+) chữ viết (đối với chữ in); chữ in ngả giống chữ viết; chữ viết tay giả chữ in
+) kịch bản phim đánh máy",script,0.0
scientific,"
+) of or relating to the practice of science",a,"
+) scientific journals
+) a scientific approach","+) khoa học; có hệ thống; chính xác
+) có kỹ thuật",scientific,0.0
scan,"
+) the act of scanning; systematic examination of a prescribed region","n, v","
+) he made a thorough scan of the beach with his binoculars
+) he analyzed the brain scan
+) you could see the tumor in the CAT scan","+) đọc thử xem có đúng âm luật và nhịp điệu (thơ)
+) ngâm, bình (thơ)
+) đúng nhịp điệu",scan,0.0
announce,"
+) make known; make an announcement",v,"
+) She denoted her feelings clearly
+) The President declared war
+) He announced the winners of the spelling bee","+) báo, loan báo, thông tri
+) công bố, tuyên bố
+) đọc bản giới thiêu tin tức, đọc chương trình (ở đài phát thanh)",announce,0.0
sand,"
+) a loose material consisting of grains of rock or coral","n, v","
+) he didn't have the guts to try it
+) sandpaper the wooden surface","+) cát
+) (số nhiều) bãi cát, lớp cát (ở dưới đáy); (từ Mỹ,nghĩa Mỹ) bờ biển
+) (thông tục) tính kiên định; sức chịu đựng; lòng can đảm",sand,0.0
suggestion,"
+) an idea that is suggested",n,"
+) the picnic was her suggestion
+) it was a suggestion we couldn't refuse
+) he speaks French with a trace of an accent","+) sự gợi ý
+) ý kiến (lý thuyết...) đề nghị
+) sự khêu gợi, sự gợi những ý nghĩa tà dâm",suggestion,0.0
sailor,"
+) any member of a ship's crew",n,"
+) ","+) lính thuỷ, thuỷ thủ
+) người hay bị say sóng
+) người đi biển không bị say sóng",sailor,0.0
safety,"
+) the state of being certain that adverse effects will not be caused by some agent under defined conditions",n,"
+) insure the safety of the children
+) the reciprocal of safety is risk
+) He ran to safety","+) sự an toàn, sự chắc chắn
+) tính an toàn, tính chất không nguy hiểm
+) chốt an toàn (ở súng)",safety,0.0
variety,"
+) a collection containing a variety of sorts of things",n,"
+) a great assortment of cars was on display
+) he had a variety of disorders
+) a veritable smorgasbord of religions","+) trạng thái khác nhau, trạng thái muôn màu muôn vẻ; tính chất bất đồng
+) nhiều thứ; mớ
+) (sinh vật học) thứ",assortment,0.0
rugby,"
+) a form of football played with an oval ball",n,"
+) ","+) (thể dục,thể thao) môn bóng bầu dục ((cũng) rugby fooball)",rugby,0.0
announcement,"
+) a formal public statement",n,"
+) the government made an announcement about changes in the drug war
+) a declaration of independence
+) the announcement appeared in the local newspaper","+) lời rao, lời loan báo; cáo thị, thông cáo
+) lời công bố, lời tuyên bố",announcement,0.0
royal,"
+) a sail set next above the topgallant on a royal mast","a, n, s","
+) the royal party
+) the royal crest
+) by royal decree","+) (thuộc) vua
+) (Royal) (thuộc) hoàng gia (Anh)
+) như vua chúa; trọng thể, sang trọng, huy hoàng, lộng lẫy",royal,0.0
row,"
+) an arrangement of objects or people side by side in a line","n, v","
+) a row of chairs
+) they had a quarrel
+) they had words","+) hàng, dây
+) dãy nhà phố
+) hàng ghế (trong rạp hát...)",row,0.0
rough,"
+) the part of a golf course bordering the fairway where the grass is not cut short","v, n, a, r, s","
+) trees with rough bark
+) rough ground
+) rough skin","+) ráp, nhám, xù xì, gồ ghề, bờm xờm, lởm chởm
+) dữ dội, mạnh, hung dữ, bảo tố, động (biển); xấu (thời tiết)
+) thô, chưa gọt giũa, chưa trau chuốt",rough,0.0
rope,"
+) a strong line","n, v","
+) rope cows
+) rope the bag securely","+) dây thừng, dây chão
+) (số nhiều) (the ropes) dây bao quanh vũ đài
+) xâu, chuỗi",rope,0.0
romantic,"
+) a soulful or amorous idealist","a, n, s","
+) romantic poetry
+) her amatory affairs
+) amorous glances","+) (thuộc) tiểu thuyết, như tiểu thuyết; mơ mộng, xa thực tế, lãng mạng
+) viển vông, hão huyền, không thực tế, ảo tưởng (kế hoạch...)
+) người lãng mạn; nhà thơ lãng mạng, nhà văn lãng mạng",romantic,0.0
roll,"
+) rotary motion of an object around its own axis","n, v","
+) wheels in axial rotation
+) his name was struck off the rolls
+) he shot his roll on a bob-tailed nag","+) cuốn, cuộn, súc, ổ
+) ổ bánh mì nhỏ (để ăn sáng...)
+) văn kiện, hồ sơ",axial_rotation,0.0
robot,"
+) a mechanism that can move automatically",n,"
+) ","+) người máy
+) tin hiệu chỉ đường tự động
+) bom bay",automaton,0.0
risk,"
+) a source of danger; a possibility of incurring loss or misfortune","n, v","
+) drinking alcohol is a health hazard
+) he saw the rewards but not the risks of crime
+) there was a danger he would do the wrong thing","+) sự liều, sự mạo hiểm
+) sự rủi ro, sự nguy hiểm
+) liều",hazard,0.0
revise,"
+) the act of rewriting something","n, v","
+) revise a thesis
+) We must retool the town's economy","+) đọc lại, xem lại, duyệt lại, xét lại
+) sửa (bản in thử); sửa đổi (đạo luật...)
+) làm lại, sửa lại, xem lại",revision,0.0
retired,"
+) go into retirement; stop performing one's work or withdraw from one's position","s, v","
+) He retired at age 68
+) He retired from chess
+) The enemy withdrew","+) ẩn dật, xa lánh mọi người
+) hẻo lánh, ít người qua lại
+) đã về hưu; đã thôi (làm việc, buôn bán, kinh doanh...)",retire,0.0
reality,"
+) all of your experiences that determine how things appear to you",n,"
+) his world was shattered
+) we live in different worlds
+) for them demons were as much a part of reality as trees were","+) sự thực, thực tế, thực tại; sự vật có thực
+) tính chất chính xác, tính chất xác thực, tính chất đúng (như nguyên bản)
+) tính thực, thực tế",world,0.0
reaction,"
+) (chemistry) a process in which one or more substances are changed into others",n,"
+) there was a chemical reaction of the lime with the ground water
+) his reaction to the news was to start planning what to do
+) a bad reaction to the medicine","+) sự phản tác dụng, sự phản ứng lại
+) (vật lý); (hoá học) phản ứng
+) (chính trị) sự phản động",chemical_reaction,0.0
rarely,"
+) not often",r,"
+) we rarely met","+) hiếm, hiếm có, ít có
+) đặc biệt, bất thường",rarely,0.0
property,"
+) something owned; any tangible or intangible possession that is owned by someone",n,"
+) that hat is my property
+) he is a man of property
+) a study of the physical properties of atomic particles","+) quyền sở hữu, tài sản, của cải, vật sở hữu
+) đặc tính, tính chất
+) đồ dùng sân khấu (trang trí, phục trang, dàn cảnh...)",property,0.0
painful,"
+) causing physical or psychological pain","a, s","
+) worked with painful slowness
+) it was a sore trial to him
+) the painful process of growing up","+) đau đớn, đau khổ; làm đau đớn, làm đau khổ
+) vất vả, khó nhọc, mất nhiều công sức",painful,0.0
properly,"
+) in the right manner",r,"
+) please do your job properly!
+) can't you carry me decent?","+) đúng, chính xác
+) (thông tục) hoàn toàn đích đáng, ra trò, hết sức
+) đúng đắn, đúng mức, thích hợp, hợp thức, hợp lệ, chỉnh",properly,0.0
proper,"
+) marked by suitability or rightness or appropriateness","a, s","
+) proper medical treatment
+) proper manners
+) wanted a proper dinner; not just a snack","+) đúng, thích đáng, thích hợp
+) đúng, đúng đắn, chính xác
+) ((thường) đặt sau danh từ) thật sự, đích thực, đích thị, đích thân, bản thân",proper,0.0
